Lon,Lat,LCC_all_BC4000_C,LCC_all_BC4000_B,LCC_all_BC4000_U,NLC_all_BC4000_C,NLC_all_BC4000_B,NLC_all_BC4000_O,HLU_all_BC4000
-2.0000000000,47.0000000000,0.0582627595,0.4668013979,0.4749358425,0.0597444088,0.4786723758,0.4615832154,0.0247997972
-2.0000000000,48.0000000000,0.0544904263,0.4871350179,0.4583745558,0.0560927113,0.5014591693,0.4424481194,0.0285649406
-2.0000000000,49.0000000000,0.0495813432,0.4992850229,0.4511336338,0.0511389048,0.5149696964,0.4338913988,0.0304574688
-2.0000000000,50.0000000000,0.0457631532,0.5065724897,0.4476643571,0.0470460545,0.5207734886,0.4321804569,0.0272690513
-2.0000000000,51.0000000000,0.0433712879,0.5165692393,0.4400594728,0.0443340739,0.5280364025,0.4276295236,0.0217166148
-2.0000000000,52.0000000000,0.0412358764,0.5237845579,0.4349795658,0.0420188343,0.5337298121,0.4242513537,0.0186334995
-2.0000000000,53.0000000000,0.0393954815,0.5337936034,0.4268109151,0.0400566385,0.5427520269,0.4171913346,0.0165055551
-2.0000000000,54.0000000000,0.0378861619,0.5446317564,0.4174820817,0.0385031454,0.5535011914,0.4079956631,0.0160242383
-2.0000000000,55.0000000000,0.0357883676,0.5616586910,0.4025529414,0.0364502507,0.5720462122,0.3915035371,0.0181585350
-2.0000000000,56.0000000000,0.0342047723,0.5882690026,0.3775262252,0.0350370104,0.6025822070,0.3623807826,0.0237531150
-1.0000000000,45.0000000000,0.0644748856,0.4697245246,0.4658005898,0.0657994204,0.4793742738,0.4548263058,0.0201298854
-1.0000000000,46.0000000000,0.0632670070,0.4761058401,0.4606271529,0.0647570039,0.4873185756,0.4479244205,0.0230090460
-1.0000000000,47.0000000000,0.0595870507,0.4817654216,0.4586475277,0.0612249366,0.4950078426,0.4437672208,0.0267519417
-1.0000000000,48.0000000000,0.0557513530,0.4920828661,0.4521657810,0.0574474726,0.5070534697,0.4354990577,0.0295247041
-1.0000000000,49.0000000000,0.0498033175,0.5080412962,0.4421553863,0.0514432910,0.5247705889,0.4237861201,0.0318792497
-1.0000000000,50.0000000000,0.0449632963,0.5184219137,0.4366147901,0.0463546982,0.5344646262,0.4191806756,0.0300164160
-1.0000000000,51.0000000000,0.0416820945,0.5323254885,0.4259924170,0.0427285867,0.5456903276,0.4115810857,0.0244916180
-1.0000000000,52.0000000000,0.0386502875,0.5444668210,0.4168828915,0.0394830121,0.5561974174,0.4043195706,0.0210907062
