Lon,Lat,LCC_elev_BC1000_C,LCC_elev_BC1000_B,LCC_elev_BC1000_U,NLC_elev_BC1000_C,NLC_elev_BC1000_B,NLC_elev_BC1000_O,HLU_elev_BC1000
-4.0000000000,48.0000000000,0.0408737424,0.2684754607,0.6906507970,0.0450700823,0.2960387380,0.6588911797,0.0931069952
-4.0000000000,49.0000000000,0.0297930067,0.2623327222,0.7078742711,0.0329417451,0.2900579237,0.6770003312,0.0955850514
-4.0000000000,51.0000000000,0.0250274638,0.2403677073,0.7346048289,0.0265403613,0.2548978133,0.7185618253,0.0570036513
-4.0000000000,52.0000000000,0.0275239323,0.2490365786,0.7234394891,0.0288814040,0.2613189844,0.7097996116,0.0470015827
-4.0000000000,53.0000000000,0.0210715807,0.2505596253,0.7283687941,0.0221171824,0.2629927487,0.7148900690,0.0472755370
-4.0000000000,54.0000000000,0.0237646476,0.2779013688,0.6983339835,0.0250671429,0.2931326159,0.6818002412,0.0519602604
-4.0000000000,55.0000000000,0.0345127474,0.3174496212,0.6480376314,0.0367771921,0.3382780726,0.6249447353,0.0615719821
-4.0000000000,56.0000000000,0.0452601749,0.3390563960,0.6156834291,0.0491395173,0.3681176150,0.5827428676,0.0789454724
-4.0000000000,57.0000000000,0.0489880859,0.3261701148,0.6248417994,0.0536174811,0.3569933316,0.5893891873,0.0863411557
-4.0000000000,58.0000000000,0.0394129992,0.2785712435,0.6820157572,0.0429842669,0.3038129785,0.6532027546,0.0830831358
-4.0000000000,59.0000000000,0.0413452349,0.2422146392,0.7164401259,0.0444845876,0.2606060498,0.6949093626,0.0705716948
-3.0000000000,48.0000000000,0.0465493889,0.2812863505,0.6721642606,0.0518774614,0.3134825639,0.6346399747,0.1027049575
-3.0000000000,49.0000000000,0.0343770405,0.2804749750,0.6851479845,0.0385747586,0.3147232654,0.6467019761,0.1088203324
-3.0000000000,51.0000000000,0.0264091578,0.2647609882,0.7088298541,0.0283202956,0.2839208090,0.6877588954,0.0674829750
-3.0000000000,52.0000000000,0.0250826402,0.2669863398,0.7079310200,0.0265801047,0.2829257529,0.6904941424,0.0563377952
-3.0000000000,53.0000000000,0.0255194472,0.2767146620,0.6977658909,0.0268640771,0.2912948688,0.6818410540,0.0500530851
-3.0000000000,54.0000000000,0.0340091739,0.3055928731,0.6603979530,0.0357006883,0.3207921475,0.6435071641,0.0473804441
-3.0000000000,55.0000000000,0.0347800070,0.3188349500,0.6463850430,0.0367533757,0.3369251967,0.6263214276,0.0536921752
-3.0000000000,56.0000000000,0.0341884656,0.3252894628,0.6405220716,0.0368210016,0.3503369814,0.6128420170,0.0714955026
-3.0000000000,57.0000000000,0.0414832476,0.3271390559,0.6313776965,0.0452620315,0.3569387428,0.5977992257,0.0834868378
-3.0000000000,58.0000000000,0.0414360796,0.2957756063,0.6627883141,0.0451890595,0.3225648178,0.6322461227,0.0830506304
-2.0000000000,45.0000000000,0.0882461959,0.2583889048,0.6533648993,0.0935347641,0.2738740749,0.6325911610,0.0565412045
-2.0000000000,47.0000000000,0.0716714669,0.2872623001,0.6410662330,0.0786467841,0.3152196697,0.6061335462,0.0886917037
-2.0000000000,48.0000000000,0.0571916280,0.2969181959,0.6458901761,0.0641161571,0.3328678404,0.6030160024,0.1079997530
-2.0000000000,49.0000000000,0.0400358815,0.2957107965,0.6642533220,0.0453337293,0.3348414648,0.6198248059,0.1168632693
-2.0000000000,50.0000000000,0.0315995501,0.2927777235,0.6756227264,0.0351975858,0.3261144222,0.6386879920,0.1022239327
-2.0000000000,51.0000000000,0.0305952400,0.2943763456,0.6750284144,0.0331359277,0.3188219245,0.6480421478,0.0766747109
-2.0000000000,52.0000000000,0.0281859927,0.2963981868,0.6754158205,0.0301446315,0.3169948360,0.6528605325,0.0649747151
-2.0000000000,53.0000000000,0.0295800992,0.3056030691,0.6648168317,0.0313328678,0.3237115767,0.6449555555,0.0559402533
-2.0000000000,54.0000000000,0.0313071232,0.3156999113,0.6529929655,0.0330347018,0.3331207522,0.6338445460,0.0522958742
-2.0000000000,55.0000000000,0.0291315623,0.3145683023,0.6563001354,0.0308292537,0.3329003059,0.6362704404,0.0550675481
-2.0000000000,56.0000000000,0.0328607695,0.3199914676,0.6471477629,0.0350328829,0.3411430643,0.6238240528,0.0620021304
-1.0000000000,45.0000000000,0.1371394596,0.2924994532,0.5703610872,0.1473037089,0.3141783877,0.5385179035,0.0690019917
-1.0000000000,46.0000000000,0.1294336935,0.3040022812,0.5665640253,0.1409275324,0.3309979820,0.5280744856,0.0815585058
-1.0000000000,47.0000000000,0.0982482652,0.3104603955,0.5912913393,0.1089379161,0.3442392439,0.5468228400,0.0981260822
-1.0000000000,48.0000000000,0.0788319972,0.3171917239,0.6039762789,0.0887698235,0.3571779781,0.5540521984,0.1119505025
-1.0000000000,49.0000000000,0.0473139270,0.3085664724,0.6441196006,0.0537983365,0.3508557412,0.5953459223,0.1205317849
-1.0000000000,50.0000000000,0.0358917300,0.3089132300,0.6551950399,0.0403553496,0.3473307466,0.6123139038,0.1106078771
-1.0000000000,51.0000000000,0.0329292901,0.3117963945,0.6552743154,0.0359875032,0.3407535872,0.6232589096,0.0849798617
-1.0000000000,52.0000000000,0.0297589228,0.3169249852,0.6533160921,0.0320682618,0.3415188609,0.6264128773,0.0720132283
-1.0000000000,53.0000000000,0.0285433437,0.3253394703,0.6461171860,0.0304922198,0.3475529269,0.6219548533,0.0639138815
-1.0000000000,54.0000000000,0.0292074495,0.3335491646,0.6372433859,0.0311029279,0.3551955330,0.6137015391,0.0609421191
-1.0000000000,55.0000000000,0.0311370287,0.3330272427,0.6358357286,0.0331001362,0.3540237320,0.6128761318,0.0593081407
0.0000000000,45.0000000000,0.2305197064,0.3148608937,0.4546193999,0.2515287301,0.3435565748,0.4049146951,0.0835253441
0.0000000000,46.0000000000,0.1902727926,0.3213560472,0.4883711602,0.2088404036,0.3527153078,0.4384442885,0.0889081362
