Lon,Lat,LCC_all_AD1725_C,LCC_all_AD1725_B,LCC_all_AD1725_U,NLC_all_AD1725_C,NLC_all_AD1725_B,NLC_all_AD1725_O,HLU_all_AD1725
-7.0000000000,56.0000000000,0.0287855925,0.1530333500,0.8181810575,0.0369065325,0.1962068452,0.7668866224,0.2200407186
-7.0000000000,58.0000000000,0.0254604664,0.1222896633,0.8522498702,0.0292579843,0.1405295958,0.8302124199,0.1297942426
-7.0000000000,59.0000000000,0.0247609309,0.1145542315,0.8606848375,0.0278896291,0.1290288736,0.8430814973,0.1121814185
-6.0000000000,51.0000000000,0.0345254057,0.1748358937,0.7906387006,0.0553785998,0.2804360093,0.6641853909,0.3765569045
-6.0000000000,55.0000000000,0.0295788630,0.1589875560,0.8114335810,0.0402334715,0.2162564972,0.7435100313,0.2648195174
-6.0000000000,56.0000000000,0.0313641289,0.1397236992,0.8289121719,0.0386806273,0.1723178841,0.7890014886,0.1891514922
-6.0000000000,57.0000000000,0.0269428458,0.1204995892,0.8525575651,0.0315529629,0.1411179465,0.8273290906,0.1461072657
-6.0000000000,58.0000000000,0.0250817512,0.1208795872,0.8540386616,0.0286247467,0.1379547837,0.8334204696,0.1237738629
-6.0000000000,59.0000000000,0.0267514522,0.1178959116,0.8553526362,0.0301133896,0.1327122539,0.8371743565,0.1116426096
-5.0000000000,49.0000000000,0.0315645090,0.1623683816,0.8060671094,0.0599378347,0.3083212611,0.6317409042,0.4733792245
-5.0000000000,51.0000000000,0.0363324155,0.1675632801,0.7961043044,0.0559654773,0.2581099774,0.6859245453,0.3508066530
-5.0000000000,52.0000000000,0.0356534919,0.1642801936,0.8000663146,0.0519601342,0.2394161261,0.7086237397,0.3138298734
-5.0000000000,53.0000000000,0.0335468084,0.1635774573,0.8028757342,0.0470552567,0.2294459473,0.7234987961,0.2870762841
-5.0000000000,54.0000000000,0.0327481136,0.1612833119,0.8059685745,0.0445731371,0.2195211383,0.7359057247,0.2652948451
-5.0000000000,55.0000000000,0.0319800890,0.1464093143,0.8216105967,0.0409331180,0.1873975315,0.7716693505,0.2187233570
-5.0000000000,56.0000000000,0.0314125950,0.1230211325,0.8455662725,0.0378110296,0.1480793192,0.8141096512,0.1692213797
-5.0000000000,57.0000000000,0.0823974038,0.2071701678,0.7104324284,0.0953366124,0.2397029649,0.6649604227,0.1357212962
-5.0000000000,58.0000000000,0.0250169890,0.1162808897,0.8587021214,0.0283958098,0.1319859090,0.8396182812,0.1189901212
-5.0000000000,59.0000000000,0.0248445674,0.1139793635,0.8611760691,0.0278112767,0.1275897289,0.8445989944,0.1066728919
-4.0000000000,48.0000000000,0.0297918627,0.1504106556,0.8197974817,0.0618857822,0.3124437420,0.6256704758,0.5185992378
-4.0000000000,49.0000000000,0.0277939476,0.1508053004,0.8214007520,0.0593172659,0.3218455414,0.6188371928,0.5314357944
-4.0000000000,51.0000000000,0.0369906784,0.1561704859,0.8068388356,0.0576391541,0.2433460291,0.6990148168,0.3582369659
-4.0000000000,52.0000000000,0.0388810419,0.1472130876,0.8139058705,0.0554847418,0.2100787364,0.7344365218,0.2992480337
