Lon,Lat,LCC_elev_AD1900_C,LCC_elev_AD1900_B,LCC_elev_AD1900_U,NLC_elev_AD1900_C,NLC_elev_AD1900_B,NLC_elev_AD1900_O,HLU_elev_AD1900
0.0000000000,54.0000000000,0.0400311183,0.1277022734,0.8322666083,0.0998715842,0.3185978528,0.5815305629,0.5991740929
1.0000000000,45.0000000000,0.1008266912,0.1870761474,0.7120971614,0.2126284829,0.3945157471,0.3928557700,0.5258081616
1.0000000000,46.0000000000,0.0966599186,0.1916022001,0.7117378814,0.2014599704,0.3993400172,0.3992000124,0.5202028553
1.0000000000,47.0000000000,0.0685756957,0.1630891375,0.7683351669,0.1815919013,0.4318682627,0.3865398360,0.6223636892
1.0000000000,48.0000000000,0.0630996682,0.1589763104,0.7779240214,0.1720532770,0.4334792232,0.3944674998,0.6332550630
1.0000000000,49.0000000000,0.0540390828,0.1486808461,0.7972800710,0.1589778529,0.4374049383,0.4036172088,0.6600842077
1.0000000000,50.0000000000,0.0441388717,0.1353075699,0.8205535584,0.1440823033,0.4416838397,0.4142338569,0.6936551494
1.0000000000,51.0000000000,0.0449059012,0.1395684872,0.8155256117,0.1348429474,0.4190947221,0.4460623305,0.6669762710
1.0000000000,52.0000000000,0.0449730019,0.1401851138,0.8148418843,0.1256111375,0.3915418331,0.4828470293,0.6419664467
1.0000000000,53.0000000000,0.0464839178,0.1440638834,0.8094521987,0.1152979893,0.3573338236,0.5273681871,0.5968367002
2.0000000000,45.0000000000,0.1375101939,0.1919098321,0.6705799740,0.2568580487,0.3584722236,0.3846697278,0.4646451818
2.0000000000,46.0000000000,0.1189367766,0.1990962087,0.6819670147,0.2272699552,0.3804423471,0.3922876977,0.4766718000
2.0000000000,47.0000000000,0.0712164980,0.1549010356,0.7738824665,0.1992063090,0.4332881347,0.3675055563,0.6424987828
2.0000000000,48.0000000000,0.0655545898,0.1561229974,0.7783224128,0.1838241588,0.4377905311,0.3783853101,0.6433842527
2.0000000000,49.0000000000,0.0551823165,0.1464196095,0.7983980740,0.1682660454,0.4464736205,0.3852603341,0.6720531679
2.0000000000,50.0000000000,0.0479685145,0.1368543193,0.8151771661,0.1570546482,0.4480773939,0.3948679578,0.6945743722
2.0000000000,51.0000000000,0.0499121066,0.1459027374,0.8041851561,0.1452325116,0.4245427104,0.4302247780,0.6563296606
3.0000000000,45.0000000000,0.1762632554,0.1994670731,0.6242696715,0.2876161374,0.3254787789,0.3869050837,0.3871579775
3.0000000000,46.0000000000,0.1315951752,0.1924472593,0.6759575655,0.2510620744,0.3671578997,0.3817800260,0.4758460611
3.0000000000,47.0000000000,0.0785098964,0.1464234418,0.7750666618,0.2281250414,0.4254604230,0.3464145356,0.6558470920
3.0000000000,48.0000000000,0.0710662120,0.1490494430,0.7798843449,0.2097354419,0.4398848610,0.3503796971,0.6611625990
3.0000000000,49.0000000000,0.0637625147,0.1464815471,0.7897559382,0.1950615500,0.4481146607,0.3568237893,0.6731159234
3.0000000000,50.0000000000,0.0580489238,0.1450601460,0.7968909302,0.1792583003,0.4479537863,0.3727879134,0.6761716266
3.0000000000,51.0000000000,0.0647359300,0.1673921151,0.7678719549,0.1630787887,0.4216839608,0.4152372505,0.6030389329
3.0000000000,52.0000000000,0.0758762397,0.1920854196,0.7320383407,0.1495302258,0.3785450660,0.4719247082,0.4925692160
4.0000000000,45.0000000000,0.1760028916,0.1866973171,0.6372997913,0.3046935574,0.3232075860,0.3720988566,0.4223609680
4.0000000000,46.0000000000,0.1419113351,0.1776867714,0.6804018935,0.2846580874,0.3564195663,0.3589223462,0.5014674047
4.0000000000,47.0000000000,0.1040811196,0.1502576423,0.7456612381,0.2740158479,0.3955854376,0.3303987145,0.6201638686
4.0000000000,48.0000000000,0.0878788239,0.1478318336,0.7642893424,0.2513969312,0.4229058566,0.3256972122,0.6504379608
4.0000000000,49.0000000000,0.0830898413,0.1514195947,0.7654905641,0.2382148495,0.4341131890,0.3276719615,0.6511978937
4.0000000000,50.0000000000,0.0822490126,0.1637387339,0.7540122535,0.2175886864,0.4331686778,0.3492426359,0.6219977520
4.0000000000,51.0000000000,0.0870984579,0.1909054886,0.7219960535,0.1898823167,0.4161907952,0.3939268881,0.5413029533
4.0000000000,52.0000000000,0.0892332574,0.2061927889,0.7045739537,0.1686855667,0.3897845762,0.4415298572,0.4710083429
4.0000000000,53.0000000000,0.0768218626,0.1973989284,0.7257792090,0.1475270342,0.3790806091,0.4733923567,0.4792692539
5.0000000000,45.0000000000,0.2321793426,0.1850321704,0.5827884870,0.3530448629,0.2813543036,0.3656008336,0.3423517320
5.0000000000,46.0000000000,0.2047886564,0.1827917420,0.6124196016,0.3424498095,0.3056663309,0.3518838595,0.4019892822
5.0000000000,47.0000000000,0.1630654318,0.1705628671,0.6663717012,0.3299386246,0.3451085688,0.3249528066,0.5057704082
5.0000000000,48.0000000000,0.1164689976,0.1436770085,0.7398539940,0.3174116873,0.3915613823,0.2910269304,0.6330664489
